"study_id","pmcid","year","journal","title","doi","data_urls","outcome_var","baseline","covars","model","n","est","se","z","p","d"
"etre_PMC11945196","PMC11945196",2025,"Nutrients","Early Time-Restricted Eating Improves Weight Loss While Preserving Muscle: An 8-Week Trial in Young Women","10.3390/nu17061022","10.5281/zenodo.14885654","Weight","endpoint","none","lm",16,-2.91875,1.17676074382786,-2.48032577166507,0.0264524652084875,-1.24016288583254
"phosphatidic_PMC4891923","PMC4891923",2016,"Journal of the International Society of Sports Nutritio","The effects of phosphatidic acid supplementation on strength, body composition, muscular endurance, power, agility, and vertical jump in resistance trained men","10.1186/s12970-016-0135-x","osf.io/6zecp","LBM2","ancova","none","lm",18,-1.04637975316696,0.465296787829029,-2.24884370693624,0.0399766969097399,-1.06698321900854
"tdcs_PMC13257960","PMC13257960",2026,"PloS one","Integrating multi-session transcranial direct current stimulation with routine physical therapy to improve quadriceps strength and activation in athletes during subacute recovery following ACL reconst","10.1371/journal.pone.0345947","10.5281/zenodo.19831812","CAR_post_all","ancova","published","lm",20,-7.1236077307704,2.21827346902128,-3.211329815847,0.00582708723150364,-1.44191623617718
"tscs_PMC13085461","PMC13085461",2026,"BMC medicine","Transcutaneous spinal cord stimulation combined with robot-assisted gait training to improve mobility and balance in spinal cord injury: intramuscular electromyography as a biomarker for functional re","10.1186/s12916-026-04697-z","zenodo.org/records/17424997","BBS_Post","ancova","published","lm",20,-6.9585471743108,1.50820462913845,-4.61379513089402,0.000337622652468383,-2.88089902312851
"facial_PMC11164989","PMC11164989",2024,"Scientific reports","Effectiveness of novel facial stretching with structured exercise versus conventional exercise for Bell's palsy: a single-blinded randomized clinical trial","10.1038/s41598-024-64046-z","osf.io/uvw89","VM2","ancova","published","lm",23,-10.9722428176716,4.97921998902259,-2.20360675805879,0.040088434727931,-0.93691290554096
"lymfit_PMC11171874","PMC11171874",2024,"Healthcare (Basel, Switzerland)","Pilot Randomized Controlled Trial of <i>Lymfit</i>: A Theory-Guided Exercise Intervention for Young Adults with Lymphoma","10.3390/healthcare12111101","osf.io/n5abk","POST_Godin","ancova","published","lm",26,21.5162245097495,5.11898037237572,4.20322465502321,0.000399673216990731,1.74048066540393
"mulligan_PMC13092435","PMC13092435",2026,"Hong Kong physiotherapy journal : official publication ","Comparison of the short-term effects of Mulligan and Maitland mobilisation techniques combined with home-based exercise for non-specific neck pain: A randomised controlled trial","10.1142/s1013702526500058","10.5281/zenodo.15278572","NPRS2","ancova","published","lm",28,-0.283320996778706,0.386786155168609,-0.732500357090599,0.471262713985581,-0.290865461465944
"aquatic_PMC12111718","PMC12111718",2025,"PloS one","Effects of an aquatic protocol on electromyography activation and strength of lower limb muscles in blind women: A randomized controlled trial","10.1371/journal.pone.0322395","10.5281/zenodo.14280848","Post.Strenth.R.Ext","ancova","published","lm",30,-2.46182519791372,0.682786290115283,-3.60555745414581,0.00135368603194163,-1.39896417249035
"clusterset_PMC13140343","PMC13140343",2026,"European journal of sport science","Acute Responses and Chronic Adaptations to Cluster Versus Traditional Set Resistance Training in Males and Females","10.1002/ejsc.70160","osf.io/mej4d","CMJ_mean","endpoint","published","lm",36,2.65693000374382,1.80798400377708,1.46955393310626,0.151446494538159,0.505417472493165
"pregnancy12w_PMC4573757","PMC4573757",2015,"PloS one","A 12-Week Exercise Program for Pregnant Women with Obesity to Improve Physical Activity Levels: An Open Randomised Preliminary Study","10.1371/journal.pone.0137742","10.5061/dryad.87f03","Steps_per_day_v2","ancova","published","lm",37,-993.151586930314,433.222850872867,-2.29247276529687,0.0290656040801274,-0.813322161665769
"gainingmore_PMC10809978","PMC10809978",2024,"PeerJ","Gaining more from doing less? The effects of a one-week deload period during supervised resistance training on muscular adaptations","10.7717/peerj.16777","osf.io/kdgv3","RF50Post","ancova","published","lm",39,0.452502362396496,1.07907974805086,0.419340983105141,0.67752966384419,0.138733066840004
"lytras_fms_PMC12942207","PMC12942207",2026,"Medicina (Kaunas, Lithuania)","Short-Term Effects of Manual Therapy Combined with Functional Magnetic Stimulation in Individuals with Lumbar Disk Herniation with Radiculopathy: A Randomized Clinical Trial","10.3390/medicina62020249","10.5281/zenodo.17936953","NRPSLBPpost","ancova","published","lm",40,1.35677289741336,0.455367021243152,2.97951505954333,0.00529839917205622,0.949088707355481
"lengthpartial_PMC11829627","PMC11829627",2025,"PeerJ","Lengthened partial repetitions elicit similar muscular adaptations as full range of motion repetitions during resistance training in trained individuals","10.7717/peerj.18904","osf.io/a6cpz","BB55-Post","ancova","none","lm",50,-0.0461366350492035,0.558348453062398,-0.0826305415483036,0.93449623152055,-0.0233734568484533
"etip_PMC6886967","PMC6886967",2019,"BMJ open","Effects of supervised exercise training during pregnancy on psychological well-being among overweight and obese women: secondary analyses of the ETIP-trial, a randomised controlled trial","10.1136/bmjopen-2018-028252","10.5061/dryad.pvmcvdng6","EPDS_total","endpoint","published","lm",57,0.737630838223736,0.932247013111802,0.791239690606843,0.432541610327909,0.219618176664243
"creatine_PMC11944689","PMC11944689",2025,"Nutrients","The Effect of Creatine Supplementation on Lean Body Mass with and Without Resistance Training","10.3390/nu17061081","osf.io/4pu2t","legs_post1","ancova","published","lm",63,43.8624457973536,103.725961193641,0.422868540263213,0.67392850060776,0.108496864171795
"spadi_PMC4880881","PMC4880881",2016,"BMC musculoskeletal disorders","Adhesive capsulitis of the shoulder, treatment with corticosteroid, corticosteroid with distension or treatment-as-usual; a randomised controlled trial in primary care","10.1186/s12891-016-1081-0","osf.io/4xvru","SPADItot4wks","ancova","none","lm",69,-0.926130499206351,4.52127069140729,-0.204838542617337,0.83832868334046,-0.0496251059870931
"tereco_PMC8318721","PMC8318721",2022,"Thorax","A telerehabilitation programme in post-discharge COVID-19 patients (TERECO): a randomised controlled trial","10.1136/thoraxjnl-2021-217382","10.5061/dryad.59zw3r27n","X_6MWD2","ancova","none","lm",112,-66.5020720370236,11.2665545838271,-5.90260949274465,4.10966482571765e-08,-1.11961570149916
"free_PMC6733445","PMC6733445",2019,"PLoS medicine","The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: A pragmatic cluster-randomised controlled trial","10.1371/journal.pmed.1002897","10.5061/dryad.4t375b2 | datadryad.org/review","rmdq_tot","ancova","none","mixed_ri",214,0.413570990069362,0.785347252861998,0.526609074600067,0.620827517769275,0.102591453418888
"mallorca_PMC8198819","PMC8198819",2021,"Journal of clinical medicine","Effectiveness of Moderate-Intensity Aerobic Water Exercise during Pregnancy on Quality of Life and Postpartum Depression: A Multi-Center, Randomized Controlled Trial","10.3390/jcm10112432","10.5281/zenodo.3580637","edimburgtotal","ancova","none","lm",236,0.131293032955233,1.28464438820349,0.102201849913375,0.91868435997358,0.0133480175469873
"physiofeedback_PMC12821712","PMC12821712",2026,"Geriatrics (Basel, Switzerland)","Effect of a Physio-Feedback Exercise Intervention Program on the Static Balance of Community-Dwelling Older Adults: A Clustered Randomized Controlled Trial","10.3390/geriatrics11010006","osf.io/8763w","AP_RMS","endpoint","published","mixed_ri",276,0.0226050369997621,0.045204063463604,0.500066482252475,0.617440151013581,0.0679974515123453
"odinet_PMC8830646","PMC8830646",2022,"PloS one","Understanding how individualised physiotherapy or advice altered different elements of disability for people with low back pain using network analysis","10.1371/journal.pone.0263574","10.5281/zenodo.5902763","Q1","endpoint","none","lm",281,-0.488436067244016,0.11859603349366,-4.11848569345388,5.02946488176935e-05,-0.49275446908868
