"author","year","n1","n2","n","smd","se_smd","z","p","crit","sig_fixed","sig_005","sig_p1.1","sig_p1.2","sig_p1.5","sig_p2"
"Hakgüder","2003",31,31,62,1.17,0.274873871368834,4.2564976953741,2.07654176225855e-05,2.61252010797197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Ibuldu","2004",20,20,40,0.89,0.331513574382709,2.68465628189498,0.00726044303821547,1.33517901268553,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Altan","2005",23,25,48,0.41,0.291940580488962,1.40439537152836,0.160201148393152,0.473063803898806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dundar","2014",38,37,75,1.05,0.246359121001661,4.26207073531862,2.02541306356675e-05,2.50311095688302,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Sumen","2015",30,15,45,0.67,0.324018175073217,2.06778524028352,0.0386602222072948,0.854539656780386,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Djordjovic","2020",10,10,20,3.15,0.669374708216556,4.70588440425644,2.5276772335268e-06,4.30219011232012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Göksu","2016",30,31,61,0.37,0.258289622317667,1.43250044922417,0.152000649640207,0.458265212322467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kul","2019",20,20,40,0.05,0.316277172745679,0.158089183502995,0.874386523746248,0.036388490301564,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"De Vos","2006",31,32,63,0.21,0.252701532476812,0.831019891101254,0.405962392577554,0.217587602702755,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rompe","2008",25,25,50,0.29,0.284325517672966,1.01995769628233,0.307748524304626,0.301243706237095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"McCormack","2016",7,8,15,1.28,0.567864839720224,2.25405749831356,0.0241925509878598,1.37431370441622,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Rompe","2008",25,25,50,0.29,0.284325517672966,1.01995769628233,0.307748524304626,0.301243706237095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Munteanu","2015",49,50,99,0.16,0.201339157131938,0.794678999749423,0.426800251182409,0.185292048694859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tumulti","2016",20,20,40,1.21,0.343949487570486,3.5179584320562,0.000434880478107457,2.09831723261352,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Rompe","2009",34,34,68,0.76,0.251138583724792,3.02621759161006,0.00247634027061684,1.42219754657384,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Abrisham","2011",40,40,80,1.29,0.245765386090068,5.24890840212642,1.53003123820906e-07,3.5811757451356,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Bingol","2005",20,20,40,0.35,0.31863968679372,1.09841935736832,0.272021413547137,0.352918685932328,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dogan","2010",30,22,52,0.18,0.281246186195328,0.640008678642093,0.522166957203297,0.164446424247782,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Eslamian","2012",25,25,50,0.62,0.289558284288328,2.14119240802876,0.0322585250284883,0.87779977876896,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Stergioulas","2008",31,32,63,1.96,0.306589225846275,6.39291871588062,1.62748789040064e-10,5.44003870593699,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yamany","2011",20,20,40,1.44,0.35485208185947,4.05802889038784,4.9488646864368e-05,2.68747390482362,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Frey","2010",307,9,316,0.144952632302481,0.338233182545378,0.428558283996971,0.668244709408871,0.0700345543840576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"McGuine","2011",121,102,223,0.703295953487783,0.13848252411983,5.07858993730657,3.80246420578423e-07,2.73385920477186,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"McGuine","2012",120,113,233,0.564448203056343,0.133665947979678,4.22282721656348,2.41256770431164e-05,1.95049694434182,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Sitler","1994",87,90,177,1.01247594682227,0.159690788726676,6.34022760420581,2.29425972035349e-10,4.2880213763374,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Surve","1994",127,131,258,0.647062420719859,0.127745911204474,5.06522999146449,4.07907568939076e-07,2.64943855793135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Balci","2016",36,17,53,0.31,0.295817360821043,1.04794390410215,0.294664452697689,0.307765284043558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dundar","2009",29,28,57,0.62,0.271236011914968,2.28583216374074,0.0222640792487751,0.94106664576126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gutiérrez","2015",28,28,56,1.03,0.284430822621499,3.62126716966484,0.000293163572054143,2.02088673569734,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hussein","2015",30,30,60,0.31,0.259745067325638,1.19347790967425,0.232682258536152,0.356120846990016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ibrahim","2014",30,30,60,0.35,0.260168214814954,1.34528347457409,0.178533708124603,0.420818968304264,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kumar","2012",20,20,40,1.23,0.344835105521465,3.56692221965039,0.000361198632274023,2.14864232394637,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Rawat","2016",21,21,42,1.07,0.329951295107107,3.24290286435355,0.00118318542181972,1.80314090219568,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Bisset","2006",66,67,133,0.43,0.17541950024954,2.45126681690639,0.0142354388084163,0.869471815042348,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Luginbühl","2008",10,10,20,0.55,0.455590276454623,1.20722506257172,0.22734548099456,0.494464905576205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"McQueen","2020",21,38,59,0.29,0.273217036359629,1.06142722234305,0.288495790965008,0.304859194947274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Olaussen","2015",58,60,118,0.88,0.192845538992259,4.56323752469755,5.03707723300237e-06,2.55700921742429,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Smidt","2002",64,59,123,0.23,0.181077864999506,1.27017181255493,0.204023435875269,0.330311619965315,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Martinez-Silvestrini","2005",31,30,61,0.22,0.256881527480934,0.856425925824225,0.391762229367448,0.227956442333409,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nagrale","2009",30,30,60,2.08,0.320499609984162,6.48986749189113,8.59119017868002e-11,5.66090576655764,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Peterson","2014",60,60,120,0.17,0.182903663167253,0.929451040270016,0.352655387032977,0.217705637018241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Stasinopoulous","2013",30,30,60,3.48,0.409373505086329,8.50079440110843,1.88297613877424e-17,9.40592380977417,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
