"n","delta","power_fixed","alpha_p1.1","power_p1.1","alpha_p1.2","power_p1.2","alpha_p1.5","power_p1.5","alpha_p2","power_p2"
20,0.2,0.073209712732486,0.0370567224553474,0.0563836773223483,0.027464013582653,0.043403930403572,0.0111803398874989,0.0197394847839175,0.0025,0.00525537678527628
40,0.2,0.0969354467604012,0.017287572304531,0.0415186725972514,0.0119544062473755,0.030811556489732,0.00395284707521047,0.0124625154627571,0.000625,0.00267642912685426
100,0.2,0.170075045753088,0.00630957344480193,0.0417993936277765,0.00398107170553497,0.030129675320972,0.001,0.0110043128869648,1e-04,0.00192308818740812
140,0.2,0.219489337832848,0.00435771838463436,0.0477032238007244,0.00265855933276924,0.034281863382097,0.000603681610520369,0.0123303412272391,5.10204081632653e-05,0.00206750602168439
200,0.2,0.292988936447988,0.00294352009326237,0.059461098667233,0.00173286210788787,0.0428690141878049,0.000353553390593274,0.0154520531026884,2.5e-05,0.00255050389108436
500,0.2,0.608779484645457,0.00107431835352737,0.15051285889326,0.000577079962362886,0.113890212880273,8.94427190999916e-05,0.0463318440636383,4e-06,0.00876700436454293
1000,0.2,0.885379140762351,0.000501187233627272,0.375301858499093,0.000251188643150958,0.30897165354031,3.16227766016838e-05,0.158854648857422,1e-06,0.0418722692157689
4000,0.2,0.999993631968596,0.000109077207137762,0.99295766155514,4.7591348467897e-05,0.988008580079814,3.95284707521047e-06,0.95643257539258,6.25e-08,0.81939403380664
20,0.5,0.200955551230416,0.0370567224553474,0.167425485846979,0.027464013582653,0.139002595112576,0.0111803398874989,0.0780814082905444,0.0025,0.0283873202153917
40,0.5,0.352608082444703,0.017287572304531,0.212067909712847,0.0119544062473755,0.175599360664633,0.00395284707521047,0.0966740868158933,0.000625,0.0329293625920326
100,0.5,0.7054180011138,0.00630957344480193,0.408562700021748,0.00398107170553497,0.35209980741543,0.001,0.214610112089215,1e-04,0.082174609135145
140,0.5,0.840879161145833,0.00435771838463436,0.542607486490454,0.00265855933276924,0.48139799892791,0.000603681610520369,0.318493732414946,5.10204081632653e-05,0.137227006498481
200,0.5,0.942437543187508,0.00294352009326237,0.712927830481877,0.00173286210788787,0.656514548594463,0.000353553390593274,0.485245366231111,2.5e-05,0.248484742363276
500,0.5,0.999858402422159,0.00107431835352737,0.989825925740617,0.000577079962362886,0.984143352569084,8.94427190999916e-05,0.952796069499486,4e-06,0.836157526496527
1000,0.5,0.999999998623864,0.000501187233627272,0.999995190670606,0.000251188643150958,0.99998905321537,3.16227766016838e-05,0.999909529752884,1e-06,0.998711097520543
4000,0.5,1,0.000109077207137762,1,4.7591348467897e-05,1,3.95284707521047e-06,1,6.25e-08,1
20,0.8,0.432157627594563,0.0370567224553474,0.383560056619276,0.027464013582653,0.338735956423587,0.0111803398874989,0.227190404151754,0.0025,0.108511479636354
40,0.8,0.715616606789122,0.017287572304531,0.559337369458239,0.0119544062473755,0.506516569540361,0.00395284707521047,0.36238982701542,0.000625,0.186543841759516
100,0.8,0.979326631902576,0.00630957344480193,0.89773594469532,0.00398107170553497,0.86871604330703,0.001,0.76098458285862,1e-04,0.543560600664737
140,0.8,0.99722203911177,0.00435771838463436,0.970070375370474,0.00265855933276924,0.958021906218942,0.000603681610520369,0.903697074307786,5.10204081632653e-05,0.752368214784853
200,0.8,0.999890871685896,0.00294352009326237,0.996354790487843,0.00173286210788787,0.994203379646231,0.000353553390593274,0.981434807400035,2.5e-05,0.92535651148582
500,0.8,0.999999999998569,0.00107431835352737,0.999999993023622,0.000577079962362886,0.999999981236128,8.94427190999916e-05,0.999999750494693,4e-06,0.999992641752405
1000,0.8,1,0.000501187233627272,1,0.000251188643150958,1,3.16227766016838e-05,1,1e-06,0.999999999999996
4000,0.8,1,0.000109077207137762,1,4.7591348467897e-05,1,3.95284707521047e-06,1,6.25e-08,1
