"n","rule","nominal","observed","mcse"
40,"fixed 0.05",0.05,0.04979,0.000487339717240448
40,"p=1.1",0.017287572304531,0.017395,0.000291450786140187
40,"p=1.2",0.0119544062473755,0.01197,0.000243017472814695
40,"p=1.5",0.00395284707521047,0.00418,0.000140307200015011
40,"p=2",0.000625,0.000655,5.5884227425992e-05
140,"fixed 0.05",0.05,0.05037,0.000487339717240448
140,"p=1.1",0.00435771838463436,0.00463,0.000147287621257093
140,"p=1.2",0.00265855933276924,0.00295,0.000115141030806646
140,"p=1.5",0.000603681610520369,0.00061,5.49234548728268e-05
140,"p=2",5.10204081632653e-05,4.5e-05,1.59715066730124e-05
500,"fixed 0.05",0.05,0.049655,0.000487339717240448
500,"p=1.1",0.00107431835352737,0.00113,7.32517642655332e-05
500,"p=1.2",0.000577079962362886,0.000605,5.37004162497799e-05
500,"p=1.5",8.94427190999916e-05,8.5e-05,2.11464795060539e-05
500,"p=2",4e-06,2e-05,4.47212701071873e-06
